0	161.111	0
0	-483.333	0
0	0	0
0	322.222	0
0	161.111	0
0	0	0
0	322.222	0
0	-1127.78	0
49	-3292.67	49
630	1877.22	630
1363	1685.22	1363
1143	820.778	1143
1110	1271.11	1110
823	17.4444	823
709	-41	709
717	569.778	717
718	3065.22	718
135	-992.778	135
0	483.333	0
0	322.222	0
0	161.111	0
0	805.556	0
0	0	0
0	-161.111	0
0	483.333	0
0	322.222	0
0	0	0
0	-161.111	0
0	322.222	0
0	322.222	0
0	0	0
0	0	0
0	-3222.22	0
367	1978.11	367
1068	906.889	1068
1090	1090	1090
1097	1741.44	1097
830	-297.778	830
724	240.667	724
725	402.778	725
724	2818.44	724
122	-1005.78	122
0	483.333	0
0	644.444	0
0	0	0
0	1127.78	0
0	-322.222	0
0	0	0
0	322.222	0
0	483.333	0
0	-322.222	0
0	-161.111	0
0	644.444	0
0	322.222	0
0	-161.111	0
0	-966.667	0
66	-2672.89	66
728	1694.67	728
1506	1344.89	1506
1445	1445	1445
1122	1444.22	1122
835	-131.667	835
716	393.778	716
715	1681.67	715
659	1625.67	659
29	29	29
0	483.333	0
0	322.222	0
0	322.222	0
0	644.444	0
0	-644.444	0
0	805.556	0
0	322.222	0
0	-161.111	0
0	-322.222	0
0	161.111	0
0	483.333	0
0	161.111	0
0	-161.111	0
0	-644.444	0
31	-3352.33	31
923	1728.56	923
1494	2944	1494
1398	431.333	1398
1112	2078.67	1112
850	-922.222	850
708	708	708
719	880.111	719
722	2816.44	722
114	-369.333	114
0	805.556	0
0	0	0
0	322.222	0
0	-161.111	0
0	161.111	0
0	805.556	0
0	0	0
0	-322.222	0
0	-161.111	0
0	322.222	0
0	322.222	0
0	161.111	0
0	-161.111	0
0	-483.333	0
70	-4602.22	70
1322	2288.67	1322
1991	2635.44	1991
1951	662.111	1951
1562	945.333	1562
1549	665.667	1549
1550	372.222	1550
1570	981.111	1570
1580	2316.11	1580
1506	2242.11	1506
526	-210.111	526
491	1079.89	491
469	321.778	469
467	2394.78	467
242	80.8889	242
0	805.556	0
0	-1247.22	0
0	602.778	0
0	644.444	0
0	0	0
0	-322.222	0
0	0	0
